TicketID;FechaApertura;FechaCierre;Cantidad;NombreCategoria;NombreCliente;TiempoMaximoRespuesta;Tarifa;Estado;Tecnico;PrecioxHora;CategoriaProfesional;Prioridad
574;20/3/2021;;3;Redes;Servicios Globales;36;184;Cerrado;Carlos Gómez;60;Senior;Media
989;18/5/2021;;3;Hardware;Redes Seguras;48;172;En Progreso;Carlos Gómez;60;Senior;Alta
1234;31/10/2021;;3;Software;Visión Futurista;72;145;En Progreso;Carlos Gómez;60;Senior;Media
1318;30/1/2021;;3;Seguridad;Servicios Globales;36;184;Abierto;Carlos Gómez;60;Senior;Baja
1340;9/6/2021;;3;Seguridad;Creatividad y Desarrollo;24;158;Abierto;Carlos Gómez;60;Senior;Urgente
1889;3/4/2021;;3;Redes;Innovaciones Creativas;48;108;Cerrado;Carlos Gómez;60;Senior;Urgente
2257;25/10/2021;;3;Hardware;Innovaciones Creativas;48;108;Cerrado;Carlos Gómez;60;Senior;Urgente
2320;31/5/2021;;3;Redes;Servicios Globales;36;184;Cerrado;Carlos Gómez;60;Senior;Media
2409;16/8/2021;;3;Software;Sistemas Ecológicos;24;189;En Progreso;Carlos Gómez;60;Senior;Alta
2505;2/6/2021;;3;Seguridad;Redes Seguras;48;172;Cerrado;Carlos Gómez;60;Senior;Urgente
2510;20/8/2021;;3;Seguridad;Avances Continuos;36;130;En Progreso;Carlos Gómez;60;Senior;Urgente
2816;25/4/2021;;3;Hardware;Sistemas Ecológicos;24;189;Abierto;Carlos Gómez;60;Senior;Urgente
3248;9/2/2021;;3;Hardware;Sistemas Ecológicos;24;189;En Progreso;Carlos Gómez;60;Senior;Urgente
3259;1/8/2021;;3;Software;Creatividad y Desarrollo;24;158;En Progreso;Carlos Gómez;60;Senior;Urgente
3394;23/2/2021;;3;Seguridad;Servicios Globales;36;184;Cerrado;Carlos Gómez;60;Senior;Baja
3417;15/3/2021;;3;Software;Avances Continuos;36;130;En Progreso;Carlos Gómez;60;Senior;Baja
3468;7/10/2021;;3;Seguridad;Redes Seguras;48;172;En Progreso;Carlos Gómez;60;Senior;Urgente
3512;23/5/2021;;3;Seguridad;Visión Futurista;72;145;Abierto;Carlos Gómez;60;Senior;Baja
3653;22/5/2021;;3;Redes;Soluciones Tecnológicas;24;115;En Progreso;Carlos Gómez;60;Senior;Urgente
3745;6/6/2021;;3;Redes;Sistemas Ecológicos;24;189;Abierto;Carlos Gómez;60;Senior;Urgente
3816;12/2/2021;;3;Hardware;Redes Seguras;48;172;Cerrado;Carlos Gómez;60;Senior;Alta
3874;30/8/2021;;3;Seguridad;Avances Continuos;36;130;En Progreso;Carlos Gómez;60;Senior;Baja
4116;18/1/2021;;3;Software;Sostenibilidad y Progreso;48;191;Cerrado;Carlos Gómez;60;Senior;Media
4230;20/10/2021;;3;Software;Innovaciones Creativas;48;108;En Progreso;Carlos Gómez;60;Senior;Baja
4245;9/1/2021;;3;Seguridad;Inteligencia de Datos;72;107;Cerrado;Carlos Gómez;60;Senior;Baja
