TicketID;FechaApertura;FechaCierre;Cantidad;NombreCategoria;NombreCliente;TiempoMaximoRespuesta;Tarifa;Estado;Tecnico;PrecioxHora;CategoriaProfesional;Prioridad
25;3/10/2020;;2;Redes;Redes Seguras;48;117;En Progreso;Carlos Gómez;60;Senior;Alta
61;1/4/2020;;2;Hardware;Creatividad y Desarrollo;24;152;En Progreso;Carlos Gómez;60;Senior;Media
281;13/4/2020;;5;Software;Soluciones Tecnológicas;24;149;En Progreso;Carlos Gómez;60;Senior;Baja
558;6/2/2020;;1;Hardware;Creatividad y Desarrollo;24;152;En Progreso;Carlos Gómez;60;Senior;Media
747;11/8/2020;;1;Seguridad;Sistemas Ecológicos;24;136;En Progreso;Carlos Gómez;60;Senior;Urgente
752;3/3/2020;;4;Software;Visión Futurista;72;163;En Progreso;Carlos Gómez;60;Senior;Urgente
812;12/4/2020;;2;Hardware;Redes Seguras;48;117;En Progreso;Carlos Gómez;60;Senior;Alta
974;30/8/2020;;3;Software;Redes Seguras;48;117;En Progreso;Carlos Gómez;60;Senior;Urgente
1033;13/11/2020;;5;Hardware;Redes Seguras;48;117;En Progreso;Carlos Gómez;60;Senior;Urgente
1051;5/1/2020;;5;Hardware;Redes Seguras;48;117;En Progreso;Carlos Gómez;60;Senior;Baja
1099;14/7/2020;;3;Redes;Sostenibilidad y Progreso;48;162;En Progreso;Carlos Gómez;60;Senior;Media
1132;23/1/2020;;1;Software;Visión Futurista;72;163;En Progreso;Carlos Gómez;60;Senior;Baja
1183;26/4/2020;;1;Hardware;Creatividad y Desarrollo;24;152;En Progreso;Carlos Gómez;60;Senior;Urgente
1645;24/4/2020;;1;Seguridad;Innovaciones Creativas;48;158;En Progreso;Carlos Gómez;60;Senior;Alta
1787;26/7/2020;;3;Seguridad;Sostenibilidad y Progreso;48;162;En Progreso;Carlos Gómez;60;Senior;Urgente
1866;15/4/2020;;4;Hardware;Visión Futurista;72;163;En Progreso;Carlos Gómez;60;Senior;Baja
1987;14/1/2020;;3;Seguridad;Servicios Globales;36;127;En Progreso;Carlos Gómez;60;Senior;Baja
2044;16/7/2020;;4;Redes;Servicios Globales;36;127;En Progreso;Carlos Gómez;60;Senior;Media
2224;7/11/2020;;4;Seguridad;Sostenibilidad y Progreso;48;162;En Progreso;Carlos Gómez;60;Senior;Alta
2237;20/5/2020;;1;Redes;Sistemas Ecológicos;24;136;En Progreso;Carlos Gómez;60;Senior;Urgente
2339;25/4/2020;;3;Software;Sistemas Ecológicos;24;136;En Progreso;Carlos Gómez;60;Senior;Media
2434;1/12/2020;;3;Software;Sistemas Ecológicos;24;136;En Progreso;Carlos Gómez;60;Senior;Urgente
2643;8/6/2020;;1;Seguridad;Visión Futurista;72;163;En Progreso;Carlos Gómez;60;Senior;Urgente
2698;9/10/2020;;4;Seguridad;Avances Continuos;36;189;En Progreso;Carlos Gómez;60;Senior;Baja
2703;4/10/2020;;3;Hardware;Avances Continuos;36;189;En Progreso;Carlos Gómez;60;Senior;Media
2778;29/9/2020;;3;Hardware;Sistemas Ecológicos;24;136;En Progreso;Carlos Gómez;60;Senior;Baja
2843;19/2/2020;;1;Seguridad;Creatividad y Desarrollo;24;152;En Progreso;Carlos Gómez;60;Senior;Urgente
2889;26/9/2020;;3;Seguridad;Servicios Globales;36;127;En Progreso;Carlos Gómez;60;Senior;Urgente
2894;23/7/2020;;3;Seguridad;Soluciones Tecnológicas;24;149;En Progreso;Carlos Gómez;60;Senior;Alta
3067;14/7/2020;;3;Seguridad;Visión Futurista;72;163;En Progreso;Carlos Gómez;60;Senior;Media
3126;1/1/2020;;5;Hardware;Sistemas Ecológicos;24;136;En Progreso;Carlos Gómez;60;Senior;Urgente
3465;3/5/2020;;4;Hardware;Avances Continuos;36;189;En Progreso;Carlos Gómez;60;Senior;Alta
3541;26/5/2020;;4;Redes;Creatividad y Desarrollo;24;152;En Progreso;Carlos Gómez;60;Senior;Urgente
3612;1/1/2020;;5;Seguridad;Servicios Globales;36;127;En Progreso;Carlos Gómez;60;Senior;Alta
