TicketID;FechaApertura;FechaCierre;Cantidad;NombreCategoria;NombreCliente;TiempoMaximoRespuesta;Tarifa;Estado;Tecnico;PrecioxHora;CategoriaProfesional;Prioridad
191;2023-06-10;;5;Software;Soluciones Tecnológicas;24;188;En Progreso;Sofía Navarro;70;Senior;Urgente
200;2023-01-09;;2;Seguridad;Inteligencia de Datos;72;163;En Progreso;Sofía Navarro;70;Senior;Urgente
351;2023-02-13;;1;Redes;Sostenibilidad y Progreso;48;199;En Progreso;Sofía Navarro;70;Senior;Baja
435;2023-02-03;;3;Software;Sostenibilidad y Progreso;48;199;En Progreso;Sofía Navarro;70;Senior;Urgente
470;2023-08-01;;4;Hardware;Visión Futurista;72;176;En Progreso;Sofía Navarro;70;Senior;Media
643;2023-04-20;;5;Redes;Sistemas Ecológicos;24;147;En Progreso;Sofía Navarro;70;Senior;Baja
896;2023-07-04;;4;Redes;Servicios Globales;36;106;En Progreso;Sofía Navarro;70;Senior;Media
1141;2023-05-18;;1;Hardware;Visión Futurista;72;176;En Progreso;Sofía Navarro;70;Senior;Media
1181;2023-12-30;;5;Software;Redes Seguras;48;132;En Progreso;Sofía Navarro;70;Senior;Media
1392;2023-08-08;;1;Redes;Innovaciones Creativas;48;138;En Progreso;Sofía Navarro;70;Senior;Baja
1405;2023-08-26;;4;Redes;Visión Futurista;72;176;En Progreso;Sofía Navarro;70;Senior;Alta
1576;2023-06-20;;1;Seguridad;Creatividad y Desarrollo;24;116;En Progreso;Sofía Navarro;70;Senior;Alta
1604;2023-01-17;;5;Hardware;Inteligencia de Datos;72;163;En Progreso;Sofía Navarro;70;Senior;Media
1755;2023-01-27;;5;Software;Inteligencia de Datos;72;163;En Progreso;Sofía Navarro;70;Senior;Urgente
1827;2023-10-21;;1;Seguridad;Visión Futurista;72;176;En Progreso;Sofía Navarro;70;Senior;Urgente
1836;2023-11-16;;2;Hardware;Soluciones Tecnológicas;24;188;En Progreso;Sofía Navarro;70;Senior;Baja
1846;2023-01-14;;5;Redes;Redes Seguras;48;132;En Progreso;Sofía Navarro;70;Senior;Media
2088;2023-04-13;;1;Redes;Sistemas Ecológicos;24;147;En Progreso;Sofía Navarro;70;Senior;Baja
2092;2023-05-26;;4;Seguridad;Sostenibilidad y Progreso;48;199;En Progreso;Sofía Navarro;70;Senior;Media
2188;2023-02-14;;4;Redes;Creatividad y Desarrollo;24;116;En Progreso;Sofía Navarro;70;Senior;Alta
2199;2023-09-19;;4;Hardware;Redes Seguras;48;132;En Progreso;Sofía Navarro;70;Senior;Baja
2294;2023-04-05;;5;Redes;Sostenibilidad y Progreso;48;199;En Progreso;Sofía Navarro;70;Senior;Urgente
2363;2023-02-01;;1;Seguridad;Creatividad y Desarrollo;24;116;En Progreso;Sofía Navarro;70;Senior;Baja
2593;2023-12-29;;4;Seguridad;Creatividad y Desarrollo;24;116;En Progreso;Sofía Navarro;70;Senior;Alta
2716;2023-02-25;;5;Redes;Soluciones Tecnológicas;24;188;En Progreso;Sofía Navarro;70;Senior;Alta
2797;2023-09-04;;1;Hardware;Innovaciones Creativas;48;138;En Progreso;Sofía Navarro;70;Senior;Media
2801;2023-02-06;;1;Hardware;Sostenibilidad y Progreso;48;199;En Progreso;Sofía Navarro;70;Senior;Alta
2830;2023-07-07;;2;Software;Visión Futurista;72;176;En Progreso;Sofía Navarro;70;Senior;Media
2986;2023-11-05;;4;Seguridad;Visión Futurista;72;176;En Progreso;Sofía Navarro;70;Senior;Baja
3069;2023-11-06;;3;Hardware;Soluciones Tecnológicas;24;188;En Progreso;Sofía Navarro;70;Senior;Media
3075;2023-10-27;;1;Hardware;Sistemas Ecológicos;24;147;En Progreso;Sofía Navarro;70;Senior;Baja
3141;2023-11-25;;3;Redes;Sistemas Ecológicos;24;147;En Progreso;Sofía Navarro;70;Senior;Baja
3320;2023-09-17;;3;Redes;Innovaciones Creativas;48;138;En Progreso;Sofía Navarro;70;Senior;Media
